Risultati: ( ( B - H ) / B )%
Detailed_Sol_val6C.dat_2.txt:	165:	-20	(137)	| 20	(207)
Detailed_Sol_val6C.dat_3.txt:	216:	-12	(192)	| 25	(291)
Detailed_Sol_val6C.dat_4.txt:	216:	11	(244)	| 41	(371)
Detailed_Sol_val7A.dat_2.txt:	633:	-249	(181)	| 25	(848)
Detailed_Sol_val7A.dat_3.txt:	747:	-184	(263)	| 31	(1089)
Detailed_Sol_val7A.dat_4.txt:	773:	-126	(342)	| 30	(1110)
Detailed_Sol_val7B.dat_2.txt:	430:	-137	(181)	| 33	(642)
Detailed_Sol_val7B.dat_3.txt:	624:	-137	(263)	| 31	(917)
Detailed_Sol_val7B.dat_4.txt:	854:	-148	(344)	| 21	(1086)
Detailed_Sol_val7C.dat_2.txt:	217:	-40	(154)	| 24	(286)
Detailed_Sol_val7C.dat_3.txt:	310:	-39	(223)	| 25	(418)
Detailed_Sol_val7C.dat_4.txt:	426:	-46	(291)	| 21	(541)
Detailed_Sol_val8A.dat_2.txt:	542:	-232	(163)	| 36	(856)
Detailed_Sol_val8A.dat_3.txt:	753:	-223	(233)	| 29	(1074)
Detailed_Sol_val8A.dat_4.txt:	854:	-184	(300)	| 22	(1099)
Detailed_Sol_val8B.dat_2.txt:	470:	-186	(164)	| 29	(665)
Detailed_Sol_val8B.dat_3.txt:	626:	-167	(234)	| 30	(907)
Detailed_Sol_val8B.dat_4.txt:	727:	-141	(301)	| 31	(1059)
Detailed_Sol_val8C.dat_2.txt:	230:	-78	(129)	| 14	(270)
Detailed_Sol_val8C.dat_3.txt:	331:	-77	(186)	| 14	(389)
Detailed_Sol_val8C.dat_4.txt:	351:	-46	(240)	| 29	(496)
Detailed_Sol_val9A.dat_2.txt:	766:	-335	(176)	| 23	(997)
Detailed_Sol_val9A.dat_3.txt:	905:	-253	(256)	| 26	(1232)
Detailed_Sol_val9A.dat_4.txt:	946:	-187	(329)	| 25	(1265)
Detailed_Sol_val9B.dat_2.txt:	576:	-229	(175)	| 26	(779)
Detailed_Sol_val9B.dat_3.txt:	812:	-218	(255)	| 23	(1055)
Detailed_Sol_val9B.dat_4.txt:	926:	-182	(328)	| 24	(1220)
Detailed_Sol_val9C.dat_2.txt:	410:	-132	(176)	| 35	(634)
Detailed_Sol_val9C.dat_3.txt:	653:	-155	(256)	| 25	(878)
Detailed_Sol_val9C.dat_4.txt:	733:	-123	(328)	| 32	(1082)
Detailed_Sol_val9D.dat_2.txt:	258:	-79	(144)	| 12	(296)
Detailed_Sol_val9D.dat_3.txt:	381:	-83	(208)	| 11	(432)
Detailed_Sol_val9D.dat_4.txt:	470:	-73	(271)	| 16	(560)
