Risultati: ( ( B - H ) / B )%
Detailed_Sol_val6C.dat_2.txt:	165:	-20	(137)	| 20	(207)
Detailed_Sol_val6C.dat_3.txt:	216:	-12	(192)	| 25	(291)
Detailed_Sol_val6C.dat_4.txt:	293:	-20	(244)	| 21	(371)
Detailed_Sol_val7A.dat_2.txt:	637:	-251	(181)	| 24	(848)
Detailed_Sol_val7A.dat_3.txt:	747:	-184	(263)	| 31	(1089)
Detailed_Sol_val7A.dat_4.txt:	780:	-128	(342)	| 29	(1110)
Detailed_Sol_val7B.dat_2.txt:	430:	-137	(181)	| 33	(642)
Detailed_Sol_val7B.dat_3.txt:	637:	-142	(263)	| 30	(917)
Detailed_Sol_val7B.dat_4.txt:	861:	-150	(344)	| 20	(1086)
Detailed_Sol_val7C.dat_2.txt:	217:	-40	(154)	| 24	(286)
Detailed_Sol_val7C.dat_3.txt:	310:	-39	(223)	| 25	(418)
Detailed_Sol_val7C.dat_4.txt:	430:	-47	(291)	| 20	(541)
Detailed_Sol_val8A.dat_2.txt:	548:	-236	(163)	| 35	(856)
Detailed_Sol_val8A.dat_3.txt:	769:	-230	(233)	| 28	(1074)
Detailed_Sol_val8A.dat_4.txt:	855:	-185	(300)	| 22	(1099)
Detailed_Sol_val8B.dat_2.txt:	489:	-198	(164)	| 26	(665)
Detailed_Sol_val8B.dat_3.txt:	647:	-176	(234)	| 28	(907)
Detailed_Sol_val8B.dat_4.txt:	714:	-137	(301)	| 32	(1059)
Detailed_Sol_val8C.dat_2.txt:	230:	-78	(129)	| 14	(270)
Detailed_Sol_val8C.dat_3.txt:	331:	-77	(186)	| 14	(389)
Detailed_Sol_val8C.dat_4.txt:	351:	-46	(240)	| 29	(496)
Detailed_Sol_val9A.dat_2.txt:	766:	-335	(176)	| 23	(997)
Detailed_Sol_val9A.dat_3.txt:	914:	-257	(256)	| 25	(1232)
Detailed_Sol_val9A.dat_4.txt:	1013:	-207	(329)	| 19	(1265)
Detailed_Sol_val9B.dat_2.txt:	576:	-229	(175)	| 26	(779)
Detailed_Sol_val9B.dat_3.txt:	812:	-218	(255)	| 23	(1055)
Detailed_Sol_val9B.dat_4.txt:	940:	-186	(328)	| 22	(1220)
Detailed_Sol_val9C.dat_2.txt:	410:	-132	(176)	| 35	(634)
Detailed_Sol_val9C.dat_3.txt:	653:	-155	(256)	| 25	(878)
Detailed_Sol_val9C.dat_4.txt:	733:	-123	(328)	| 32	(1082)
Detailed_Sol_val9D.dat_2.txt:	258:	-79	(144)	| 12	(296)
Detailed_Sol_val9D.dat_3.txt:	381:	-83	(208)	| 11	(432)
Detailed_Sol_val9D.dat_4.txt:	470:	-73	(271)	| 16	(560)
